"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL4283683";"DOMATINOSTAT";"4SC-202|DOMATINOSTAT|HDAC INHIBITOR 4SC-202";"";"2.0";"";"'-stat'";"";"enzyme inhibitors: histone deacetylase inhibitors";"'-stat(-stat (-inostat))'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1"
"CHEMBL469449";"L-FUCOSE";"(-)-FUCOSE|DEOXYGALACTOSE-CERECOR|FUCOSE|FUCOSE, L-|FUCOSE-CERECOR|L-(-)-FUCOSE|L-FUCOSE|L-Fucose|L-GALACTOMETHYLOSE|NSC-1219";"NSC-1219";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O"
"CHEMBL443684";"NAVITOCLAX";"A-855071.0|ABT-263|NAVITOCLAX";"A-855071.0|ABT-263";"3.0";"";"'-toclax'";"2009";"bcl-2 (B-cell lymphoma 2) inhibitors";"'-toclax(-toclax)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1"
"CHEMBL578390";"APX-3330";"APX 3330|APX-3330|APX3330|E 3330|E-3330";"APX 3330|APX-3330|APX3330|E 3330|E-3330";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCC/C(=C\C1=C(C)C(=O)C(OC)=C(OC)C1=O)C(=O)O"
"CHEMBL445813";"AT-7519";"AT 7519|AT-7519|AT7519|CDKI AT7519";"AT 7519|AT-7519|AT7519";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl"
"CHEMBL224325";"CHLORQUINALDOL";"CHLORQUINALDOL|CLORQUINALDOL|NSC-755830|STEROXIN";"NSC-755830";"4.0";"";"'-nal-'";"";"narcotic agonists/antagonists (normorphine type)";"'-nal-(-nal-)'";"";"G01AC03 | R02AA11 | P01AA04 | D08AH02";"G01AC - Quinoline derivatives | R02AA - Antiseptics | P01AA - Hydroxyquinoline derivatives | D08AH - Quinoline derivatives";"G01A - ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS | R02A - THROAT PREPARATIONS | P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES | D08A - ANTISEPTICS AND DISINFECTANTS";"G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS | R02 - THROAT PREPARATIONS | P01 - ANTIPROTOZOALS | D08 - ANTISEPTICS AND DISINFECTANTS";"G - GENITO URINARY SYSTEM AND SEX HORMONES | R - RESPIRATORY SYSTEM | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | D - DERMATOLOGICALS";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1ccc2c(Cl)cc(Cl)c(O)c2n1"
"CHEMBL986";"RETINOL";"AROVIT|Aquasol A|NEPALM|NSC-122759|OLEOVITAMIN A|RETINOL|RETINOL (VIT A)|RETINOL ACETATE|RETINOL PALMITATE|RO-A-VIT|Retinol|VITAMIN A|VITAMIN A OIL|Vitamin A|Vitamin A 1|Vitamin a solubilized";"NSC-122759";"4.0";"Chase Chemical Co Lp|West Ward Pharmaceutical Corp|Sandoz Inc|Hospira Inc|Watson Laboratories Inc|Teligent Pharma Inc|Abraxis Pharmaceutical Products|Sandoz Canada Inc|Everylife|Impax Laboratories Inc";"";"";"";"";"";"D10AD02 | S01XA02 | A11CA01 | R01AX02";"D10AD - Retinoids for topical use in acne | S01XA - Other ophthalmologicals | A11CA - Vitamin A, plain | R01AX - Other nasal preparations";"D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | S01X - OTHER OPHTHALMOLOGICALS | A11C - VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE";"D10 - ANTI-ACNE PREPARATIONS | S01 - OPHTHALMOLOGICALS | A11 - VITAMINS | R01 - NASAL PREPARATIONS";"D - DERMATOLOGICALS | S - SENSORY ORGANS | A - ALIMENTARY TRACT AND METABOLISM | R - RESPIRATORY SYSTEM";"Vitamin (anti-xerophthalmic)";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"1";"0";"0";"Prescription Only";"CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1"
"CHEMBL1187011";"DOMIPHEN";"DOMIPHEN|DOMIPHEN CATION|DOMIPHEN ION|PHENODODECINIUM";"";"4.0";"";"";"1969";"";"";"";"A01AB06";"A01AB - Antiinfectives and antiseptics for local oral treatment";"A01A - STOMATOLOGICAL PREPARATIONS";"A01 - STOMATOLOGICAL PREPARATIONS";"A - ALIMENTARY TRACT AND METABOLISM";"Anti-Infective, Topical";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1"
"CHEMBL303933";"PIPERAQUINE";"PIPERAQUINE|PIPERAQUINOLINE";"";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1"
"CHEMBL1800955";"OMECAMTIV MECARBIL";"CK-1827452|OMECAMTIV MECARBIL";"CK-1827452";"3.0";"";"'-camtiv'";"2009";"cardiac myosin activator";"'-camtiv(-camtiv)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1"
"CHEMBL1766";"DESOXIMETASONE";"A-41-304|A-41304|DESOXIMETASONE|DESOXYMETHASONE|HOE 304|HOE-304|J83.644C|NSC-759189|R 2113|R-2113|STIEDEX|STIEDEX LP|STIEDEX LPN|TOPICORT LP|Topicort";"A-41-304|A-41304|HOE 304|HOE-304|J83.644C|NSC-759189|R 2113|R-2113";"4.0";"Cadila Healthcare Ltd|Padagis Us Llc|Glenmark Generics Ltd|Akorn Operating Co Llc|Lupin Inc|Fougera Pharmaceuticals Inc|Actavis Mid Atlantic Llc|Pai Holdings Llc Dba Pharmaceutical Associates Inc|Novel Laboratories Inc|Padagis Israel Pharmaceuticals Ltd";"";"1975";"";"";"1977";"D07AC03 | D07XC02";"D07AC - Corticosteroids, potent (group III) | D07XC - Corticosteroids, potent, other combinations";"D07A - CORTICOSTEROIDS, PLAIN | D07X - CORTICOSTEROIDS, OTHER COMBINATIONS";"D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS";"D - DERMATOLOGICALS | D - DERMATOLOGICALS";"Anti-Inflammatory";"US-8277780-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO"
"CHEMBL1440";"TETRACYCLINE";"ACHROMYCIN V|Achromycin|Cyclopar|E701|ECONOMYCIN|Liquamycin|NSC-108579|PANMYCIN|SUPRAMYCIN|SUSTAMYCIN|TETRABID ORGANON|TETRACYCLINE|Tetracycline|Tetracyn|Vetquamycin";"NSC-108579";"4.0";"Sun Pharmaceutical Industries Inc|Avet Pharmaceuticals Inc|Watson Laboratories Inc|Abbott Laboratories Pharmaceutical Products Div|Shire Development Inc|Purepac Pharmaceutical Co|Mm Mast And Co|Mylan Pharmaceuticals Inc|Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa|Allergan Sales Llc";"'-cycline'";"";"antibiotics (tetracycline derivatives)";"'-cycline(-cycline)'";"2006";"D06AA04 | S03AA02 | S01AA09 | S02AA08 | A01AB13 | J01AA07";"D06AA - Tetracycline and derivatives | S03AA - Antiinfectives | S01AA - Antibiotics | S02AA - Antiinfectives | A01AB - Antiinfectives and antiseptics for local oral treatment | J01AA - Tetracyclines";"D06A - ANTIBIOTICS FOR TOPICAL USE | S03A - ANTIINFECTIVES | S01A - ANTIINFECTIVES | S02A - ANTIINFECTIVES | A01A - STOMATOLOGICAL PREPARATIONS | J01A - TETRACYCLINES";"D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS | S01 - OPHTHALMOLOGICALS | S02 - OTOLOGICALS | A01 - STOMATOLOGICAL PREPARATIONS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"D - DERMATOLOGICALS | S - SENSORY ORGANS | S - SENSORY ORGANS | S - SENSORY ORGANS | A - ALIMENTARY TRACT AND METABOLISM | J - ANTIINFECTIVES FOR SYSTEMIC USE";"Anti-Amebic; Antirickettsial; Antibacterial,Antibacterial,Antibacterial; Anti-Amebic; Antirickettsial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"
"CHEMBL1236970";"ZINC ION";"ZINC CATION|ZINC ION";"";"3.0";"";"'io-'";"";"iodine-containing contrast media";"'io-(io-)'";"";"";"";"";"";"";"";"None";"9:Inorganic";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"[Zn+2]"
"CHEMBL3545254";"OLESOXIME";"4-CHOLEST-EN-3-ONE, OXIME|CHOLEST-4-EN-3-ONE, OXIME|NSC-21311|OLESOXIME|TRO-19622|TRO19622";"NSC-21311|TRO-19622|TRO19622";"3.0";"";"";"2015";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@]4(C)[C@H]3CC[C@]12C"
"CHEMBL1374379";"BENZONATATE";"BENZONATATE|NSC-760128|Tessalon";"NSC-760128";"4.0";"Thepharmanetwork Llc|Puracap Pharmaceutical Llc|Nesher Pharmaceuticals Usa Llc|Sun Pharmaceutical Industries Inc|Qingdao Baheal Pharmaceutical Co Ltd|Acella Pharmaceuticals Llc|Ascent Pharmaceuticals Inc|Mikart Llc|Strides Pharma Global Pte Ltd|Bionpharma Inc";"";"";"";"";"1958";"R05DB01";"R05DB - Other cough suppressants";"R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS";"R05 - COUGH AND COLD PREPARATIONS";"R - RESPIRATORY SYSTEM";"Antitussive";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"0";"0";"1";"Prescription Only";"CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1"
"CHEMBL3545356";"VK5211";"LGD-4033|LIGANDROL|VK-5211|VK5211";"LGD-4033";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL2108642";"SENOFILCON A";"SENOFILCON A";"";"3.0";"";"'-filcon'";"2003";"hydrophilic contact lens material";"'-filcon(-filcon)'";"";"";"";"";"";"";"";"None";"10:Polymer";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL226335";"RUTIN";"BIRUTAN|C.I. 75730|GLOBULARIACITRIN|ILIXANTHIN|MYRTICOLORIN|NOVARRUTINA|NSC-115918|NSC-9220|OSYRITRIN|PALIUROSIDE|QUERCETIN 3-RUTINOSIDE|QUERCETIN-3-O-RUTINOSIDE|RUTIN|RUTOSIDE|SOPHORIN|TANRUTIN|VIOLAQUERCETRIN|YUNXIANGGAN";"C.I. 75730|NSC-115918|NSC-9220";"2.0";"";"";"";"";"";"";"C05CA01 | C05CA51";"C05CA - Bioflavonoids | C05CA - Bioflavonoids";"C05C - CAPILLARY STABILIZING AGENTS | C05C - CAPILLARY STABILIZING AGENTS";"C05 - VASOPROTECTIVES | C05 - VASOPROTECTIVES";"C - CARDIOVASCULAR SYSTEM | C - CARDIOVASCULAR SYSTEM";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O"
"CHEMBL425";"OLSALAZINE";"C. I. MORDANT YELLOW 5|Dipentum|OLSALAZINE|Olsalazine";"";"4.0";"Mylan Specialty Lp A Viatris Co";"'-lazine; -sal-'";"1987";"antiarrhythmic/antianginal/antihypertensive agents, phthalazine like structure; anti-inflammatory agents (salicylic acid derivatives)";"'-lazine(-lazine); -sal-(-sal-)'";"1990";"A07EC03";"A07EC - Aminosalicylic acid and similar agents";"A07E - INTESTINAL ANTIINFLAMMATORY AGENTS";"A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS";"A - ALIMENTARY TRACT AND METABOLISM";"Anti-Inflammatory (gastrointestinal)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"0";"0";"0";"Prescription Only";"O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O"
"CHEMBL1094966";"PIRBUTEROL";"ARA-211|PIRBUTEROL|Pirbuterol";"ARA-211";"4.0";"Bausch Health Us Llc";"'-terol'";"1973";"bronchodilators (phenethylamine derivatives)";"'-terol(-terol)'";"1986";"R03CC07 | R03AC08";"R03CC - Selective beta-2-adrenoreceptor agonists | R03AC - Selective beta-2-adrenoreceptor agonists";"R03C - ADRENERGICS FOR SYSTEMIC USE | R03A - ADRENERGICS, INHALANTS";"R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES | R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES";"R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM";"Bronchodilator";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"1";"0";"Prescription Only";"CC(C)(C)NCC(O)c1ccc(O)c(CO)n1"
"CHEMBL490672";"FILIBUVIR";"FILIBUVIR|PF-00868554|PF-868554";"PF-00868554|PF-868554";"3.0";"";"'-vir'";"2008";"antivirals: RNA polymerase (NS5B) inhibitors";"'-vir(-vir (-buvir))'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CCc1cc(CC[C@]2(C3CCCC3)CC(O)=C(Cc3nc4nc(C)cc(C)n4n3)C(=O)O2)cc(CC)n1"
"CHEMBL4802154";"TILPISERTIB";"TILPISERTIB";"";"2.0";"";"'-sertib'";"";"serine/threonine kinase inhibitors";"'-sertib(-sertib)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)c3cn(C45CC(C4)C5)nn3)cccc2c1=O"
"CHEMBL1255800";"FIDAXOMICIN";"DIFICID|DIFICLIR|FIDAXOMICIN|OPT-80|PAR-101";"OPT-80|PAR-101";"4.0";"Cubist Pharmaceuticals Llc";"'-micin'";"2008";"antibiotics (Micromonospora strains)";"'-micin(-micin)'";"2011";"A07AA12";"A07AA - Antibiotics";"A07A - INTESTINAL ANTIINFECTIVES";"A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS";"A - ALIMENTARY TRACT AND METABOLISM";"";"US-7378508-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C"
"CHEMBL2364638";"UBROGEPANT";"MK-1602|UBRELVY|UBROGEPANT|UBROGEPANT ANHYDROUS|Ubrogepant";"MK-1602";"4.0";"Allergan Sales Llc";"'-gepant'";"2013";"calcitonin gene-related peptide receptor antagonists";"'-gepant(-gepant)'";"2019";"N02CD04";"N02CD - Calcitonin gene-related peptide (CGRP) antagonists";"N02C - ANTIMIGRAINE PREPARATIONS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"";"US-8754096-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"C[C@@H]1[C@H](c2ccccc2)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F"
"CHEMBL1200542";"DESOXYCORTICOSTERONE ACETATE";"11-DEOXYCORTICOSTERONE|11-DEOXYCORTICOSTERONE ACETATE|21-HYDROXYPROGESTERONE|DEOXYCORTICOSTERONE|DEOXYCORTICOSTERONE ACETATE|DEOXYCORTONE|DESOXYCORTICOSTERONE|DESOXYCORTICOSTERONE ACETATE|DESOXYCORTONE|DESOXYCORTONE ACETATE|Doca|NSC-11319|NSC-9567|Percorten";"NSC-11319|NSC-9567";"4.0";"Organon Usa Inc|Novartis Pharmaceuticals Corp";"'-cort-; -ster-; -terone'";"";"cortisone derivatives; steroids (androgens, anabolics); antiandrogens";"'-cort-(-cort-); -ster-(-ster-); -terone(-terone)'";"1939";"H02AA03";"H02AA - Mineralocorticoids";"H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN";"H02 - CORTICOSTEROIDS FOR SYSTEMIC USE";"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS";"Adrenocortical Steroid (salt-regulating)";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Discontinued";"CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"
"CHEMBL473417";"VISMODEGIB";"ERIVEDGE|GDC-0449|NSC-747691|NSC-755986|VISMODEGIB";"GDC-0449|NSC-747691|NSC-755986";"4.0";"Genentech Inc";"'-degib'";"2009";"hedgehog signaling inhibitors";"'-degib(-degib)'";"2012";"L01XJ01";"L01XJ - Hedgehog pathway inhibitors";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-7888364-B2";"1:Synthetic Small Molecule";"1";"1";"Achiral Molecule";"0";"1";"0";"0";"1";"Prescription Only";"CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1"
"CHEMBL522987";"VESTIPITANT";"GW-597599|GW597599|VESTIPITANT";"GW-597599";"2.0";"";"'-tant'";"2000";"tachykinin (neurokinin) receptor antagonists: NK1 receptor antagonists";"'-tant(-tant (-pitant))'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"Cc1cc(F)ccc1[C@H]1CNCCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1"
"CHEMBL3907479";"FGFR INHIBITOR DEBIO 1347";"FGFR inhibitor debio 1347";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";"Cc1nc2ccc(-n3ncc(C(=O)c4cc5ccccc5[nH]4)c3N)cc2[nH]1"
"CHEMBL4071864";"GSK2982772";"GSK2982772";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";"CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21"
"CHEMBL502620";"ACLARUBICIN";"ACLACINOMYCIN A|ACLARUBICIN|ACLARUBICIN HYDROCHLORIDE|NSC-208734";"NSC-208734";"3.0";"";"'-rubicin'";"1981";"antineoplastic antibiotics (daunorubicin type)";"'-rubicin(-rubicin)'";"";"L01DB04";"L01DB - Anthracyclines and related substances";"L01D - CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC"
"CHEMBL1454";"LEVAMISOLE";"LEVAMISOLE|Levamisole|TCMDC-125847|TETRAMISOLE, (S)-";"TCMDC-125847";"4.0";"Janssen Pharmaceutica Products Lp";"";"1970";"";"";"1990";"P02CE01";"P02CE - Imidazothiazole derivatives";"P02C - ANTINEMATODAL AGENTS";"P02 - ANTHELMINTICS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"Biological Response Modifier";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Withdrawn";"c1ccc([C@H]2CN3CCSC3=N2)cc1"
"CHEMBL55643";"COPPER";"BRONZE POWDER|C.I. 77400|C.I. PIGMENT METAL|CI 77400|COPPER|COPPER POWDER|COPPER, ELEMENTAL|COPPER, METALLIC|CU-7|CUPRUM METALLICUM|PARAGARD T 380A|TATUM-T";"";"4.0";"Coopersurgical Inc|Gd Searle Llc";"";"";"";"";"";"";"";"";"";"";"";"None";"9:Inorganic";"0";"0";"Achiral Molecule";"0";"0";"0";"1";"0";"Prescription Only";""
"CHEMBL1276127";"INDIRUBIN";"C.I. 75790|COUROUPITINE B|INDIRUBIN|NSC-105327";"C.I. 75790|NSC-105327";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O"
"CHEMBL5077861";"JDQ-443";"JDQ 443|JDQ-443|JDQ443|NVP-JDQ-443";"JDQ443";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"C=CC(=O)N1CC2(CC(n3nc(-c4ccc5c(cnn5C)c4)c(-c4c(Cl)c(C)cc5[nH]ncc45)c3C)C2)C1"
"CHEMBL2104445";"TRITOQUALINE";"HYPOSTAMIN|HYPOSTAMINE|INHIBOSTAMIN|L-554|LIVALFA|MCI-5011|TRITOCALINE|TRITOQUALINE";"L-554|MCI-5011";"4.0";"";"";"";"";"";"";"R06AX21";"R06AX - Other antihistamines for systemic use";"R06A - ANTIHISTAMINES FOR SYSTEMIC USE";"R06 - ANTIHISTAMINES FOR SYSTEMIC USE";"R - RESPIRATORY SYSTEM";"";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O"
"CHEMBL1378024";"PROTIONAMIDE";"EKTEBIN|NSC-758962|PETEHA|PROTHIONAMIDE|PROTIONAMIDE|PROTIONAMIDUM|RP 9778|RP-9778|TH-1321|TREVINTIX";"NSC-758962|RP 9778|RP-9778|TH-1321";"4.0";"";"";"";"";"";"";"J04AD01";"J04AD - Thiocarbamide derivatives";"J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS";"J04 - ANTIMYCOBACTERIALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCCc1cc(C(N)=S)ccn1"
"CHEMBL7301";"FENRETINIDE";"4-HPR|ALL-TRANS-4'-HYDROXYRETINANILIDE|FENRETINIDE|MCN-R-1967|N-(4-HYDROXYPHENYL)RETINAMIDE|NSC-760419|RETINAMIDE, N-(4-HYDROXYPHENYL)-|RII RETINAMIDE";"MCN-R-1967|NSC-760419";"3.0";"";"'-retin-'";"1984";"retinol derivatives";"'-retin-(-retin-)'";"";"";"";"";"";"";"Antineoplastic";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1"
